epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,279.08,1.37503,0.68365,0.97626,0.65163,0.49856,0.51477,0.22575,1.92935,1.36985,1.20967,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,296.243,1.47683,0.74671,1.01293,0.63648,0.51201,0.50924,0.22406,1.9071,1.34619,1.21558,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,302.947,1.41584,0.70615,0.99158,0.60871,0.51107,0.49772,0.21858,1.93949,1.34066,1.21073,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,309.429,1.38479,0.67759,0.9778,0.66054,0.47935,0.51092,0.223,1.934,1.38322,1.20928,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,316.119,1.38231,0.67119,0.98106,0.68685,0.48415,0.51988,0.23066,1.89137,1.34739,1.18823,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,322.666,1.36636,0.66745,0.98009,0.65848,0.49267,0.51152,0.22457,1.9133,1.36179,1.20333,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,329.257,1.368,0.66547,0.97532,0.66262,0.49183,0.50992,0.22281,1.91645,1.37138,1.20745,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,335.915,1.33902,0.65384,0.96344,0.64695,0.50624,0.51693,0.22827,1.90238,1.37408,1.19835,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,342.646,1.32554,0.64764,0.9588,0.65407,0.4976,0.50902,0.22593,1.90484,1.36356,1.19964,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,349.355,1.32588,0.64463,0.95811,0.64836,0.5024,0.51256,0.22372,1.91413,1.3515,1.2057,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,356.042,1.32556,0.64808,0.95937,0.64996,0.50624,0.51122,0.22294,1.91908,1.35623,1.2051,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
